Sample,Date
IHWX,01JUL2008
IHXG,01OCT2007
IHWN,02JUL2007
IHUH,03AUG2009
IHTZ,03JUN2009
IHWP,04OCT2008
IHXA,05AUG2008
IHXN,05NOV2007
IHUP,07JUL2009
IHWF,07JUN2007
IHWW,08JUL2008
IHSA,09AUG2007
IHXX,09SEP2008
IHWB,10SEP2007
IHUI,11AUG2009
IHXF,12AUG2008
IHWG,12JUL2007
IHSB,12MAY2008
IHUA,13JUL2009
IHUS,13JUN2007
IHWS,13JUN2008
IHXW,14NOV2007
IHXP,15JUL2008
IHXY,15JUN2009
IHXO,16OCT2007
IHWU,17SEP2007
IHUF,18AUG2009
IHXU,19AUG2008
IHWA,20AUG2007
IHPO,20SEP2008
IHUB,21JUL2009
IHPY,22MAY2008
IHUN,23JUN2009
IHPN,23OCT2008
IHWO,24JUN2008
IHXS,25AUG2008
IHWH,25JUL2007
IHWY,27AUG2007
IHUC,27JUL2009
IHWI,27JUN2007
IHXT,28JUL2008
IHXI,28MAY2007
IHXH,29JUL2008
IHUO,29JUN2009
IHWT,29MAY2009
IHUZ,31JUL2007
